iter	RMSE
0	267050.3694
1	254183.9674
2	241707.3078
3	230632.6197
4	219484.3893
5	209005.0575
6	199144.8566
7	189911.294
8	181884.6768
9	173604.0902
10	166029.4063
11	159520.9959
12	152567.5917
13	146564.466
14	140337.8452
15	134540.6467
16	129839.2058
17	124591.4081
18	119704.3558
19	115466.4863
20	111470.0515
21	107560.6886
22	104216.7375
23	100765.4417
24	97460.4654
25	94231.23536
26	91412.91881
27	88606.40297
28	86254.57225
29	83952.34362
30	81620.36568
31	79487.73722
32	77642.11031
33	76182.36788
34	74579.65601
35	73349.78039
36	72013.42521
37	70616.99728
38	69644.56384
39	68546.98959
40	67536.86614
41	66558.28318
42	65727.82313
43	64913.99126
44	64045.19132
45	63172.8466
46	62397.9783
47	61661.72961
48	60988.72134
49	60479.05658
50	59929.0031
51	59359.13441
52	58719.10542
53	58310.3142
54	57732.42308
55	57275.27707
56	56791.66367
57	56439.58261
58	56150.83586
59	55904.56138
60	55631.38224
61	55253.76845
62	54979.47326
63	54756.61237
64	54387.83859
65	54246.14613
66	53911.9416
67	53683.93024
68	53534.01169
69	53264.48169
70	53062.41317
71	52899.5241
72	52644.65724
73	52440.02936
74	52137.49563
75	52038.45002
76	51934.29459
77	51717.31499
78	51618.17039
79	51455.99565
80	51260.40716
81	51157.11627
82	51032.46624
83	50803.33159
84	50620.85905
85	50488.56109
86	50360.59973
87	50257.41124
88	50165.44043
89	50069.66653
90	49924.99699
91	49858.57058
92	49661.49458
93	49544.29306
94	49388.51069
95	49278.58159
96	49127.19376
97	49047.37889
98	48960.04666
99	48839.06731
100	48758.45082
101	48671.15665
102	48515.93702
103	48436.101
104	48361.06417
105	48233.29528
106	48178.79865
107	48116.15916
108	48004.9537
109	47946.61345
110	47820.11498
111	47759.86541
112	47692.01416
113	47618.3692
114	47547.00182
115	47477.81673
116	47411.00511
117	47357.58829
118	47328.36301
119	47253.10732
120	47205.60215
121	47171.76982
122	47126.79152
123	47020.07177
124	46954.01949
125	46841.28421
126	46759.15307
127	46668.35571
128	46585.29375
129	46522.48253
130	46444.50121
131	46364.23871
132	46293.09818
133	46254.73721
134	46200.06455
135	46170.47648
136	46112.35273
137	46045.20791
138	45955.02286
139	45883.80199
140	45810.02511
141	45755.76662
142	45681.30122
143	45591.51581
144	45519.89309
145	45456.99273
146	45395.29912
147	45357.08682
148	45294.55924
149	45251.75114
150	45216.0414
151	45171.20988
152	45115.7823
153	45067.04692
154	44998.00767
155	44942.90289
156	44900.69779
157	44861.21448
158	44808.36091
159	44762.74077
160	44724.14186
161	44678.74044
162	44626.5476
163	44563.45264
164	44494.74272
165	44468.06597
166	44404.8834
167	44343.20201
168	44305.64807
169	44273.7613
170	44223.71386
171	44166.65763
172	44124.97868
173	44087.85422
174	44042.90826
175	43987.60506
176	43958.8422
177	43910.41752
178	43875.77164
179	43812.77895
