Id,salary
9000,722450
9001,554561
9002,332372
9003,993502
9004,151270
9005,418291
9006,104338
9007,158035
9008,350314
9009,427838
9010,156097
9011,905412
9012,880492
9013,898603
9014,907063
9015,494501
9016,167602
9017,404878
9018,379848
9019,488669
9020,329158
9021,706100
9022,394319
9023,681800
9024,892093
9025,819421
9026,892375
9027,922659
9028,183472
9029,828621
9030,897439
9031,520005
9032,118313
9033,614996
9034,349080
9035,278713
9036,477015
9037,340371
9038,404101
9039,283611
9040,950819
9041,939572
9042,479352
9043,154788
9044,412297
9045,394514
9046,507697
9047,975501
9048,891876
9049,819574
9050,576622
9051,130428
9052,155847
9053,197955
9054,529170
9055,270214
9056,391851
9057,331834
9058,347771
9059,296018
9060,499046
9061,952612
9062,248902
9063,323515
9064,918910
9065,670264
9066,125985
9067,373350
9068,393147
9069,514118
9070,126594
9071,190750
9072,477440
9073,240928
9074,297291
9075,536128
9076,301570
9077,151701
9078,262951
9079,367353
9080,922607
9081,900512
9082,372847
9083,674290
9084,997169
9085,730844
9086,319235
9087,103670
9088,645187
9089,377943
9090,802820
9091,646682
9092,191439
9093,518175
9094,685995
9095,531622
9096,492995
9097,712412
9098,709162
9099,464691
9100,854786
9101,436026
9102,330023
9103,511968
9104,169984
9105,259707
9106,575949
9107,376110
9108,952431
9109,604164
9110,932472
9111,760980
9112,413596
9113,131575
9114,887231
9115,902456
9116,185109
9117,416574
9118,135853
9119,926188
9120,418576
9121,272767
9122,769713
9123,544549
9124,490343
9125,831480
9126,984550
9127,285622
9128,179063
9129,367958
9130,547451
9131,260576
9132,163022
9133,999000
9134,894082
9135,510170
9136,839703
9137,899947
9138,638858
9139,666270
9140,248914
9141,512488
9142,565295
9143,976458
9144,186662
9145,356476
9146,411198
9147,670201
9148,370757
9149,383383
9150,276067
9151,582317
9152,848450
9153,793216
9154,348274
9155,675366
9156,506015
9157,281721
9158,982566
9159,170651
9160,949950
9161,495851
9162,947628
9163,680180
9164,935227
9165,949078
9166,422625
9167,988283
9168,278557
9169,544175
9170,751311
9171,895158
9172,142773
9173,776986
9174,931414
9175,442230
9176,145086
9177,293785
9178,128410
9179,263647
9180,190921
